school_name,cca,niche_programmes,sports_achievement_2025,arts_distinction_2024,url_address,postal_code,nature_code,session_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,mother_tongue,X,Y,lat,long,school_tier
CHONGZHENG PRIMARY SCHOOL,WUSHU; HOCKEY; RUGBY; MODULAR CCA (SPORTS); MODERN DANCE; MALAY DANCE; INDIAN DANCE; CHOIR; CHINESE DANCE; ANGKLUNG/KULINTANG ENSEMBLE; SCOUTS; GIRL GUIDES (BROWNIES); SPEECH AND DRAMA; DIGITAL MEDIA; DESIGN AND INNOVATION; ART AND CRAFTS; ENVIRONMENTAL SCIENCE,INNOVATION & ENTERPRISE; COMMUNITY SERVICE & STUDENT LEADERSHIP,{'F': ['HOCKEY']},CHOIR,http://www.chongzhengpri.moe.edu.sg,529392,CO-ED SCHOOL,SINGLE SESSION,N,N,N,N,CHINESEMALAYTAMIL,41131.9416870372,36969.5707135443,1.35061130568554,103.951317297552,3.0
CHUA CHU KANG PRIMARY SCHOOL,FOOTBALL; FLOORBALL; BASKETBALL; BADMINTON; PERCUSSION ENSEMBLE; MODERN DANCE; MALAY DANCE; CHOIR; CHINESE DANCE; ENGLISH DRAMA; SCOUTS; ROBOTICS; ENVIRONMENTAL SCIENCE; ART AND CRAFTS,STEM - SUSTAINABILITY; COMMUNITY SERVICE & STUDENT LEADERSHIP,"{'F': ['BASKETBALL'], 'M': ['TRACK AND FIELD']}",INDIAN_DANCE,http://www.chuachukangpri.moe.edu.sg,689905,CO-ED SCHOOL,SINGLE SESSION,N,N,N,N,CHINESEMALAYTAMIL,17818.7829598142,39971.2903354876,1.37775890093367,103.741832917421,
CLEMENTI PRIMARY SCHOOL,"ROPE SKIPPING; TAEKWONDO; FLOORBALL; BASKETBALL; BADMINTON; FOOTBALL; INDIAN DANCE; MALAY DANCE; MODERN DANCE; CHOIR; CHINESE DANCE; BRASS BAND; GIRL GUIDES (BROWNIES); ROBOTICS; NATIONAL EDUCATION; INTERNATIONAL CHESS; INFOCOMM TECHNOLOGY (MEDIA PRODUCTION); ENVIRONMENTAL SCIENCE; ENGLISH LANGUAGE, DRAMA AND DEBATING; ART AND CRAFTS; STUDENT LEADERSHIP (PREFECT); STUDENT LEADERSHIP (PEER SUPPORT)",INTERDISCIPLINARY; VISUAL ARTS & DESIGN,,MALAY_DANCE,http://www.clementipri.moe.edu.sg,129903,CO-ED SCHOOL,SINGLE SESSION,N,N,N,N,CHINESEMALAYTAMIL,20190.2983410172,33038.6364921555,1.31506321827875,103.763144493687,3.0
COMPASSVALE PRIMARY SCHOOL,"TRACK AND FIELD; WUSHU; NETBALL; FOOTBALL; BASKETBALL; MALAY DANCE; INDIAN DANCE; CHINESE DANCE; BRASS BAND; HARMONICA ENSEMBLE; RED CROSS YOUTH; PHYSICAL SCIENCE; ROBOTICS; ENGLISH LANGUAGE, DRAMA AND DEBATING; ART AND CRAFTS",STEM - GAME DESIGN AND MAKING; MUSIC & PERFORMING ARTS,,INDIAN_DANCE; PERCUSSION_ENSEMBLE,https://www.compassvalepri.moe.edu.sg,545091,CO-ED SCHOOL,SINGLE SESSION,N,N,N,N,CHINESEMALAYTAMIL,35177.2900137762,41816.2900234833,1.39444529636566,103.897812229905,3.0
CONCORD PRIMARY SCHOOL,VOLLEYBALL; SEPAKTAKRAW; FLOORBALL; BADMINTON; MODERN DANCE; INDIAN DANCE; BRASS BAND; CHOIR; ART AND CRAFTS,INTERDISCIPLINARY; SPORTS & OUTDOOR EDUCATION,{'M': ['SEPAKTAKRAW']},INDIAN_DANCE; CHOIR,http://www.concordpri.moe.edu.sg/,689814,CO-ED SCHOOL,SINGLE SESSION,N,N,N,N,CHINESEMALAYTAMIL,17231.3486815896,40248.4434567168,1.38026516111464,103.736554295636,
CORPORATION PRIMARY SCHOOL,NETBALL; VOLLEYBALL; FOOTBALL; BASKETBALL; MALAY DANCE; PERCUSSION ENSEMBLE; MODERN DANCE; CHOIR; CHINESE DANCE; RED CROSS YOUTH; GIRL GUIDES (BROWNIES); INFOCOMM TECHNOLOGY (MEDIA PRODUCTION); ENVIRONMENTAL SCIENCE; CHINESE CHESS; ART AND CRAFTS; STUDENT LEADERSHIP (PREFECT),INTERDISCIPLINARY; MUSIC & PERFORMING ARTS,{'M': ['BASKETBALL']},,http://www.corporationpri.moe.edu.sg,648347,CO-ED SCHOOL,SINGLE SESSION,N,N,N,N,CHINESEMALAYTAMIL,14006.5242964895,37066.276891252,1.35148548772662,103.707578404944,
DAZHONG PRIMARY SCHOOL,WUSHU; TRACK AND FIELD; NETBALL; FOOTBALL; BASKETBALL; BADMINTON; WESTERN ORCHESTRA; MODERN DANCE; CHOIR; SCOUTS; GIRL GUIDES (BROWNIES); ART AND CRAFTS; STUDENT LEADERSHIP (PREFECT),STEM - SUSTAINABILITY; MUSIC & PERFORMING ARTS,{'M': ['FOOTBAL']},INTERNATIONAL_DANCE; PERCUSSION_ENSEMBLE,http://www.dazhongpri.moe.edu.sg,659441,CO-ED SCHOOL,SINGLE SESSION,N,N,N,N,CHINESEMALAYTAMIL,18557.5702323942,37916.8722190689,1.3591797447277,103.74847210784,
DE LA SALLE SCHOOL,"WUSHU; RUGBY; NETBALL; HOCKEY; BASKETBALL; PERCUSSION ENSEMBLE; MODERN DANCE; CHOIR; SCOUTS; GIRL GUIDES (BROWNIES); ROBOTICS; PHOTOGRAPHY; ENVIRONMENTAL SCIENCE; ENGLISH LANGUAGE, DRAMA AND DEBATING; ART AND CRAFTS; INTERNATIONAL CHESS",INNOVATION & ENTERPRISE; COMMUNITY SERVICE & STUDENT LEADERSHIP,{'F': ['HOCKEY']},INTERNATIONAL_DANCE,http://www.delasalle.moe.edu.sg,689285,CO-ED SCHOOL,SINGLE SESSION,N,N,N,N,CHINESEMALAYTAMIL,17971.195454672,41845.4133931287,1.3947078296399,103.743201812831,3.0
EAST SPRING PRIMARY SCHOOL,MODULAR CCA (SPORTS); VOLLEYBALL; WUSHU; FOOTBALL; MODULAR CCA (VPA); MODERN DANCE; MALAY DANCE; INDIAN DANCE; GUZHENG ENSEMBLE; SCOUTS; PHYSICAL SCIENCE; ART AND CRAFTS; INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),ICT & MEDIA; SPORTS & OUTDOOR EDUCATION,{'F': ['VOLLEYBALL']},MALAY_DANCE; INDIAN_DANCE,http://www.eastspringpri.moe.edu.sg,529258,CO-ED SCHOOL,SINGLE SESSION,N,N,N,N,CHINESEMALAYTAMIL,42284.8340225685,37198.8184850682,1.35268400746357,103.961676849165,3.0
EDGEFIELD PRIMARY SCHOOL,NETBALL; TRACK AND FIELD; ARTISTIC GYMNASTICS; BASKETBALL; MODERN DANCE; MALAY DANCE; CHOIR; SCOUTS; PHYSICAL SCIENCE; INFOCOMM TECHNOLOGY (COMPUTING); ART AND CRAFTS,STEM - SUSTAINABILITY; MUSIC & PERFORMING ARTS,,INTERNATIONAL_DANCE,http://www.edgefieldpri.moe.edu.sg,828869,CO-ED SCHOOL,SINGLE SESSION,N,N,N,N,CHINESEMALAYTAMIL,36294.0746121518,42440.6405269764,1.40009139510996,103.907847599114,3.0
ELIAS PARK PRIMARY SCHOOL,VOLLEYBALL; TRACK AND FIELD; TABLE TENNIS; BASKETBALL; MODERN DANCE; CHINESE ORCHESTRA; CHOIR; SCOUTS; PHYSICAL SCIENCE; ART AND CRAFTS; INFOCOMM TECHNOLOGY (COMPUTING),INTERDISCIPLINARY; MUSIC & PERFORMING ARTS,,CO_FULL_ENSEMBLE,http://www.eliasparkpri.moe.edu.sg,518866,CO-ED SCHOOL,SINGLE SESSION,N,N,N,N,CHINESEMALAYTAMIL,40460.9792755861,39672.6204007976,1.37505696315817,103.945289416873,
ENDEAVOUR PRIMARY SCHOOL,VOLLEYBALL; TABLE TENNIS; WUSHU; SAILING; RUGBY; BASKETBALL; FLOORBALL; BADMINTON; MALAY DANCE; GUZHENG ENSEMBLE; ENGLISH DRAMA; CHOIR; CHINESE DANCE; GUITAR ENSEMBLE; SCOUTS; GIRL GUIDES (BROWNIES); INFOCOMM TECHNOLOGY (COMPUTING); PHYSICAL SCIENCE; ART AND CRAFTS; STUDENT LEADERSHIP (PREFECT),INTERDISCIPLINARY; MUSIC & PERFORMING ARTS,,CHINESE_DANCE; MALAY_DANCE; CHOIR; GUZHENG_ENSEMBLE,https://endeavourpri.moe.edu.sg/,757521,CO-ED SCHOOL,SINGLE SESSION,N,N,N,N,CHINESEMALAYTAMIL,26203.4465249702,48388.3767226581,1.45388170417263,103.817174701639,
EVERGREEN PRIMARY SCHOOL,TAEKWONDO; NETBALL; BADMINTON; FOOTBALL; PERCUSSION ENSEMBLE; MALAY DANCE; INDIAN DANCE; CHOIR; CHINESE DANCE; SCOUTS; INFOCOMM TECHNOLOGY (MEDIA PRODUCTION); ENVIRONMENTAL SCIENCE; ART AND CRAFTS; STUDENT LEADERSHIP (PREFECT),STEM - SUSTAINABILITY; MUSIC & PERFORMING ARTS,,MALAY_DANCE; INDIAN_DANCE,http://www.evergreenpri.moe.edu.sg/,738908,CO-ED SCHOOL,SINGLE SESSION,N,N,N,N,CHINESEMALAYTAMIL,23685.1394134862,47312.1421118006,1.44414835451585,103.794545295922,
FAIRFIELD METHODIST SCHOOL (PRIMARY),VOLLEYBALL; MODULAR CCA (SPORTS); FOOTBALL; BADMINTON; BASKETBALL; HANDBELL ENSEMBLE; CHOIR; CONCERT BAND; CHINESE DANCE; GIRLS' BRIGADE; RED CROSS YOUTH; BOYS' BRIGADE; FAITH-BASED CCA; MODULAR CCA (C&S); DIGITAL MEDIA; ART AND CRAFTS,LANGUAGES; MUSIC & PERFORMING ARTS/ VISUAL ARTS & DESIGN,,CHINESE_DANCE; CONCERT_BAND; CHOIR,http://www.fmsp.moe.edu.sg/,139648,CO-ED SCHOOL,SINGLE SESSION,N,N,N,N,CHINESEMALAYTAMIL,22673.2819890725,31484.0275675338,1.30100441916733,103.785455606827,2.0
FARRER PARK PRIMARY SCHOOL,TENNIS; SWIMMING; FLOORBALL; FOOTBALL; BASKETBALL; BADMINTON; GUITAR ENSEMBLE; MODERN DANCE; ENGLISH DRAMA; CHINESE INSTRUMENTAL ENSEMBLE; SCOUTS; BOYS' BRIGADE; INFOCOMM TECHNOLOGY (COMPUTING); MATHEMATICS; PHYSICAL SCIENCE; ART AND CRAFTS; ENVIRONMENTAL SCIENCE,INTERDISCIPLINARY; COMMUNITY SERVICE & STUDENT LEADERSHIP,,INTERNATIONAL_DANCE; CO_SECTIONAL_ENSEMBLE,http://www.farrerparkpri.moe.edu.sg,217567,CO-ED SCHOOL,SINGLE SESSION,N,N,N,N,CHINESEMALAYTAMIL,29941.7768185176,32740.5849021059,1.31236867681371,103.850766402965,
FENGSHAN PRIMARY SCHOOL,WUSHU; NETBALL; HEALTH AND FITNESS; BASKETBALL; FOOTBALL; MALAY DANCE; INDIAN DANCE; CONCERT BAND; CHOIR; CHINESE DANCE; SCOUTS; RED CROSS YOUTH; GIRL GUIDES (BROWNIES); BOYS' BRIGADE; ENVIRONMENTAL SCIENCE; ART AND CRAFTS; STUDENT LEADERSHIP (PREFECT),INTERDISCIPLINARY; SPORTS & OUTDOOR EDUCATION,,,http://www.fengshanpri.moe.edu.sg,469680,CO-ED SCHOOL,SINGLE SESSION,N,N,N,N,CHINESEMALAYTAMIL,38949.9907227494,34668.9245775398,1.32980598760785,103.931710293058,
FERN GREEN PRIMARY SCHOOL,TCHOUKBALL; OUTDOOR ADVENTURE; FOOTBALL; BASKETBALL; FLOORBALL; HARMONICA ENSEMBLE; MODERN DANCE; GUITAR ENSEMBLE; CHOIR; ENGLISH DRAMA; SCOUTS; INFOCOMM TECHNOLOGY (MEDIA PRODUCTION); DEBATING AND PUBLIC SPEAKING; DESIGN AND INNOVATION; ART AND CRAFTS,STEM - SUSTAINABILITY; SPORTS & OUTDOOR EDUCATION,,INTERNATIONAL_DANCE,www.ferngreenpri.moe.edu.sg,797538,CO-ED SCHOOL,SINGLE SESSION,N,N,N,N,CHINESEMALAYTAMIL,33231.7764054528,42128.5479522273,1.39726966050479,103.880330305684,
FERNVALE PRIMARY SCHOOL,WUSHU; BASKETBALL; BADMINTON; FLOORBALL; PERCUSSION ENSEMBLE; INDIAN DANCE; GUZHENG ENSEMBLE; GUITAR ENSEMBLE; ANGKLUNG/KULINTANG ENSEMBLE; SCOUTS; ROBOTICS; INFOCOMM TECHNOLOGY (MEDIA PRODUCTION); ENVIRONMENTAL SCIENCE; ART AND CRAFTS,STEM - SUSTAINABILITY; COMMUNITY SERVICE & STUDENT LEADERSHIP,,INDIAN_DANCE; GUZHENG_ENSEMBLE,www.fernvalepri.moe.edu.sg,797701,CO-ED SCHOOL,SINGLE SESSION,N,N,N,N,CHINESEMALAYTAMIL,32576.8849010281,41358.1178030372,1.39030227963797,103.874445458032,
FIRST TOA PAYOH PRIMARY SCHOOL,BASKETBALL; FOOTBALL; MODULAR CCA (VPA); CHOIR; GIRLS' BRIGADE; GIRL GUIDES (BROWNIES); SCOUTS; BOYS' BRIGADE; PHOTOGRAPHY; ENVIRONMENTAL SCIENCE; ART AND CRAFTS; STUDENT LEADERSHIP (PREFECT); STUDENT LEADERSHIP (PEER SUPPORT),ICT & MEDIA; SPORTS & OUTDOOR EDUCATION,,,http://www.firsttoapayohpri.moe.edu.sg,319252,CO-ED SCHOOL,SINGLE SESSION,N,N,N,N,CHINESEMALAYTAMIL,30471.8817195026,35831.634454662,1.34032299499938,103.855529906182,
FRONTIER PRIMARY SCHOOL,SOFTBALL; RUGBY; ROCKWALL CLIMBING; BASKETBALL; BADMINTON; STRING ENSEMBLE; MODERN DANCE; CHOIR; CHINESE DANCE; SCOUTS; RED CROSS YOUTH; ENVIRONMENTAL SCIENCE; DESIGN AND INNOVATION; ART AND CRAFTS; STUDENT LEADERSHIP (PREFECT),INTERDISCIPLINARY; MUSIC & PERFORMING ARTS,,CHINESE_DANCE; CHOIR,http://www.frontierpri.moe.edu.sg,648200,CO-ED SCHOOL,SINGLE SESSION,N,N,N,N,CHINESEMALAYTAMIL,13129.8467444237,35399.679120725,1.33641298743234,103.69970173931,3.0
FUCHUN PRIMARY SCHOOL,HEALTH AND FITNESS; FOOTBALL; BASKETBALL; BADMINTON; MODERN DANCE; STRING ENSEMBLE; CHOIR; BRASS BAND; SCOUTS; JOURNALISM; INFOCOMM TECHNOLOGY (MEDIA PRODUCTION); ART AND CRAFTS; ENVIRONMENTAL SCIENCE,LANGUAGES; MUSIC & PERFORMING ARTS,,CHOIR,http://www.fuchunpri.moe.edu.sg,739063,CO-ED SCHOOL,SINGLE SESSION,N,N,N,N,CHINESEMALAYTAMIL,21865.3411816815,45800.7908879817,1.43047990810126,103.778192944298,
FUHUA PRIMARY SCHOOL,NETBALL; RUGBY; FLOORBALL; BASKETBALL; BADMINTON; FOOTBALL; MODERN DANCE; GUZHENG ENSEMBLE; CHOIR; CHINESE DANCE; BRASS BAND; SCOUTS; GIRLS' BRIGADE; BOYS' BRIGADE; INFOCOMM TECHNOLOGY (MEDIA PRODUCTION); SPEECH AND DRAMA; INFOCOMM TECHNOLOGY (COMPUTING); ENVIRONMENTAL SCIENCE; DESIGN AND INNOVATION; ART AND CRAFTS; STUDENT LEADERSHIP (HOUSE); STUDENT LEADERSHIP (PEER SUPPORT); STUDENT LEADERSHIP (PREFECT),STEM - TRANSPORTATION; COMMUNITY SERVICE & STUDENT LEADERSHIP,,CHOIR,http://www.fuhuapri.moe.edu.sg,609647,CO-ED SCHOOL,SINGLE SESSION,N,N,N,N,CHINESEMALAYTAMIL,17179.4264072292,35419.8652930856,1.33659726465816,103.736089481883,
GAN ENG SENG PRIMARY SCHOOL,MODULAR CCA (SPORTS); FOOTBALL; FLOORBALL; BASKETBALL; BADMINTON; MODERN DANCE; CHOIR; BRASS BAND; SCOUTS; GIRL GUIDES (BROWNIES); BOYS' BRIGADE; INFOCOMM TECHNOLOGY (MEDIA PRODUCTION); ART AND CRAFTS; ENVIRONMENTAL SCIENCE,INTERDISCIPLINARY; MUSIC & PERFORMING ARTS,,,http://www.ganengsengpri.moe.edu.sg,158901,CO-ED SCHOOL,SINGLE SESSION,N,N,N,N,CHINESEMALAYTAMIL,26022.2170935348,29780.10807156,1.28559516494962,103.815547410064,3.0
GEYLANG METHODIST SCHOOL (PRIMARY),TRACK AND FIELD; ROPE SKIPPING; NETBALL; FOOTBALL; BASKETBALL; BADMINTON; GUZHENG ENSEMBLE; MODERN DANCE; HANDBELL ENSEMBLE; CHOIR; ANGKLUNG/KULINTANG ENSEMBLE; GIRLS' BRIGADE; BOYS' BRIGADE; INFOCOMM TECHNOLOGY (MEDIA PRODUCTION); ENVIRONMENTAL SCIENCE; ENGLISH CULTURE AND LANGUAGE; ART AND CRAFTS,LANGUAGES; COMMUNITY SERVICE & STUDENT LEADERSHIP,,,www.geylangmethodistpri.moe.edu.sg,389706,CO-ED SCHOOL,SINGLE SESSION,N,N,N,N,CHINESEMALAYTAMIL,33599.0035654055,33379.2588208541,1.31814416827374,103.883628501601,3.0
GONGSHANG PRIMARY SCHOOL,WUSHU; TRACK AND FIELD; FLOORBALL; BASKETBALL; BADMINTON; MODERN DANCE; STRING ENSEMBLE; SCOUTS; SPEECH AND DRAMA; INTERNATIONAL CHESS; ENVIRONMENTAL SCIENCE; INFOCOMM TECHNOLOGY (COMPUTING); ART AND CRAFTS,LANGUAGES; SPORTS & OUTDOOR EDUCATION,,INTERNATIONAL_DANCE,http://www.gongshangpri.moe.edu.sg,529176,CO-ED SCHOOL,SINGLE SESSION,N,N,N,N,CHINESEMALAYTAMIL,40890.1319455709,37688.8239677399,1.35711606790292,103.949144797277,
GREENDALE PRIMARY SCHOOL,WUSHU; VOLLEYBALL; TABLE TENNIS; SOFTBALL; NETBALL; BADMINTON; MODERN DANCE; GUITAR ENSEMBLE; CHOIR; RED CROSS YOUTH; GIRLS' BRIGADE; BOYS' BRIGADE; INTERNATIONAL CHESS; ENVIRONMENTAL SCIENCE; ART AND CRAFTS; INFOCOMM TECHNOLOGY (COMPUTING); STUDENT LEADERSHIP (PREFECT),INTERDISCIPLINARY; SPORTS & OUTDOOR EDUCATION,{'M': ['SOFTBALL']},INTERNATIONAL_DANCE; CHOIR,http://www.greendalepri.moe.edu.sg,828848,CO-ED SCHOOL,SINGLE SESSION,N,N,N,N,CHINESEMALAYTAMIL,36793.4333255449,42041.5424514245,1.39648195114256,103.91233462071,
GREENRIDGE PRIMARY SCHOOL,NETBALL; WUSHU; ROCKWALL CLIMBING; HOCKEY; FOOTBALL; BASKETBALL; BADMINTON; GUZHENG ENSEMBLE; ENGLISH DRAMA; CULTURAL DANCE; BRASS BAND; SCOUTS; BOYS' BRIGADE; GIRLS' BRIGADE; INFOCOMM TECHNOLOGY (MEDIA PRODUCTION); MEDIA RESOURCE LIBRARY; ROBOTICS; ENVIRONMENTAL SCIENCE; ART AND CRAFTS; STUDENT LEADERSHIP (PREFECT),STEM - HEALTH SCIENCE; COMMUNITY SERVICE & STUDENT LEADERSHIP,,,http://www.greenridgepri.moe.edu.sg,677744,CO-ED SCHOOL,SINGLE SESSION,N,N,N,N,CHINESEMALAYTAMIL,20708.0073222192,40870.2050487585,1.3858892193692,103.767794469258,
GREENWOOD PRIMARY SCHOOL,"RUGBY; MODULAR CCA (SPORTS); BASKETBALL; BADMINTON; INDIAN DANCE; STRING ENSEMBLE; MALAY DANCE; CHOIR; CHINESE DANCE; ANGKLUNG/KULINTANG ENSEMBLE; SCOUTS; INFOCOMM TECHNOLOGY (MEDIA PRODUCTION); ENGLISH LANGUAGE, DRAMA AND DEBATING; ART AND CRAFTS; ENVIRONMENTAL SCIENCE",LANGUAGES; COMMUNITY SERVICE & STUDENT LEADERSHIP,,CHOIR,http://www.greenwoodpri.moe.edu.sg,737942,CO-ED SCHOOL,SINGLE SESSION,N,N,N,N,CHINESEMALAYTAMIL,24818.0410170276,46842.3174743224,1.43989958331782,103.804725587384,
HAIG GIRLS' SCHOOL,"WUSHU; NETBALL; FOOTBALL; BOWLING; BADMINTON; HANDBELL ENSEMBLE; MODERN DANCE; INDIAN DANCE; CHOIR; CHINESE DANCE; GAMELAN ENSEMBLE; RED CROSS YOUTH; GIRL GUIDES (BROWNIES); PHYSICAL SCIENCE; ENGLISH LANGUAGE, DRAMA AND DEBATING; ART AND CRAFTS",INTERDISCIPLINARY; MUSIC & PERFORMING ARTS,"{'F': ['FOOTBAL', 'SAILING', 'BOWLING', 'TRACK AND FIELD']}",CHINESE_DANCE; GAMELAN_ENSEMBLE,http://www.haiggirls.moe.edu.sg,427072,GIRLS' SCHOOL,SINGLE SESSION,N,N,N,N,CHINESEMALAYTAMIL,35744.037941209,32693.6655622385,1.31194344271383,103.902902557195,3.0
HENRY PARK PRIMARY SCHOOL,MODULAR CCA (SPORTS); NETBALL; TENNIS; TABLE TENNIS; TRACK AND FIELD; ARTISTIC GYMNASTICS; BADMINTON; BASKETBALL; FLOORBALL; FOOTBALL; MODERN DANCE; STRING ENSEMBLE; CHOIR; CHINESE DANCE; CHINESE ORCHESTRA; SCOUTS; GIRL GUIDES (BROWNIES); GIRLS' BRIGADE; PHYSICAL SCIENCE; MATHEMATICS; INTERNATIONAL CHESS; ART AND CRAFTS; ENGLISH CULTURE AND LANGUAGE,STEM - SUSTAINABILITY; SPORTS & OUTDOOR EDUCATION,"{'F': ['TENNIS (DOUBLES)'], 'M': ['BADMINTON', 'SAILING', 'TENNIS (DOUBLES)', 'SAILING']}",CHINESE_DANCE,http://www.henryparkpri.moe.edu.sg,278790,CO-ED SCHOOL,SINGLE SESSION,N,N,Y,N,CHINESEMALAYTAMIL,22544.2873791968,33216.9645254761,1.31667646178347,103.784296227747,1.0
HOLY INNOCENTS' PRIMARY SCHOOL,WUSHU; ROPE SKIPPING; OUTDOOR ADVENTURE; BADMINTON; BASKETBALL; FOOTBALL; GUZHENG ENSEMBLE; CHOIR; CHINESE DANCE; CHINESE ORCHESTRA; RED CROSS YOUTH; GIRL GUIDES (BROWNIES); ROBOTICS; MEDIA RESOURCE LIBRARY; INFOCOMM TECHNOLOGY (MEDIA PRODUCTION); PHYSICAL SCIENCE; ART AND CRAFTS; CHINESE WEIQI; CHINESE CULTURE AND LANGUAGE,STEM - SUSTAINABILITY; VISUAL ARTS & DESIGN,,GUZHENG_ENSEMBLE,http://www.holyinnocentspri.moe.edu.sg/,536451,CO-ED SCHOOL,SINGLE SESSION,Y,N,N,N,CHINESE,34765.9036816582,38774.6943912152,1.36693830877349,103.894114899795,2.0
HONG WEN SCHOOL,TABLE TENNIS; ROPE SKIPPING; FOOTBALL; WUSHU; BASKETBALL; BADMINTON; CHOIR; GUZHENG ENSEMBLE; CHINESE ORCHESTRA; CHINESE DRUMS; CHINESE DANCE; INFOCOMM TECHNOLOGY (MEDIA PRODUCTION); INFOCOMM TECHNOLOGY (COMPUTING); CHINESE CHESS; CHINESE CALLIGRAPHY AND BRUSH PAINTING; ART AND CRAFTS; CHINESE WEIQI,INTERDISCIPLINARY; SPORTS & OUTDOOR EDUCATION,{'M': ['ROPE SKIPPING']},CHINESE_DANCE; GUZHENG_ENSEMBLE,http://www.hongwen.moe.edu.sg,327829,CO-ED SCHOOL,SINGLE SESSION,Y,N,N,N,CHINESE,30705.4493981982,33779.0355954058,1.32175999964553,103.857628468881,2.0
HORIZON PRIMARY SCHOOL,WUSHU; SWIMMING; ROPE SKIPPING; FOOTBALL; BOWLING; BASKETBALL; BADMINTON; MODERN DANCE; GUITAR ENSEMBLE; SCOUTS; SPEECH AND DRAMA; ROBOTICS; INTERNATIONAL CHESS; DESIGN AND INNOVATION; ART AND CRAFTS; INFOCOMM TECHNOLOGY (COMPUTING); STUDENT LEADERSHIP (PREFECT),STEM - SUSTAINABILITY; COMMUNITY SERVICE & STUDENT LEADERSHIP,{'F': ['ROPE SKIPPING']},,http://www.horizonpri.moe.edu.sg,828819,CO-ED SCHOOL,SINGLE SESSION,N,N,N,N,CHINESEMALAYTAMIL,36912.5247354358,42380.7999361996,1.399550034492,103.913404855665,
HOUGANG PRIMARY SCHOOL,VOLLEYBALL; ROCKWALL CLIMBING; WUSHU; HEALTH AND FITNESS; FOOTBALL; HOCKEY; MALAY DANCE; INDIAN DANCE; BALLET; BRASS BAND; CHINESE DANCE; ANGKLUNG/KULINTANG ENSEMBLE; GUZHENG ENSEMBLE; ENGLISH DRAMA; SCOUTS; MATHEMATICS; MEDIA RESOURCE LIBRARY; PHOTOGRAPHY; INFOCOMM TECHNOLOGY (COMPUTING); PHYSICAL SCIENCE; ART AND CRAFTS; ENVIRONMENTAL SCIENCE,STEM - SUSTAINABILITY; SPORTS & OUTDOOR EDUCATION,,INDIAN_DANCE; GUZHENG_ENSEMBLE,http://www.hougangpri.moe.edu.sg/,534238,CO-ED SCHOOL,SINGLE SESSION,N,N,N,N,CHINESEMALAYTAMIL,33284.6782123018,39929.5216681417,1.37738245231461,103.880805274557,
HUAMIN PRIMARY SCHOOL,HOCKEY; FLOORBALL; BADMINTON; BASKETBALL; BOWLING; GUITAR ENSEMBLE; MODERN DANCE; ENGLISH DRAMA; ANGKLUNG/KULINTANG ENSEMBLE; CHINESE DANCE; CHOIR; SCOUTS; STRATEGY GAMES; ROBOTICS; MEDIA RESOURCE LIBRARY; INFOCOMM TECHNOLOGY (COMPUTING); ENVIRONMENTAL SCIENCE; ART AND CRAFTS; CERAMICS; STUDENT LEADERSHIP (HOUSE),INTERDISCIPLINARY; VISUAL ARTS & DESIGN,,INTERNATIONAL_DANCE,http://www.huaminpri.moe.edu.sg,768857,CO-ED SCHOOL,SINGLE SESSION,N,N,N,N,CHINESEMALAYTAMIL,29215.4177919272,45412.9266837817,1.42697284512936,103.844240226564,
INNOVA PRIMARY SCHOOL,"WUSHU; VOLLEYBALL; TRACK AND FIELD; TABLE TENNIS; MALAY DANCE; CHOIR; CHINESE DANCE; HARMONICA ENSEMBLE; RED CROSS YOUTH; GIRL GUIDES (BROWNIES); ENVIRONMENTAL SCIENCE; ENGLISH LANGUAGE, DRAMA AND DEBATING; ART AND CRAFTS",INTERDISCIPLINARY; COMMUNITY SERVICE & STUDENT LEADERSHIP,{'M': ['VOLLEYBALL']},MALAY_DANCE,http://www.innovapri.moe.edu.sg/,737888,CO-ED SCHOOL,SINGLE SESSION,N,N,N,N,CHINESEMALAYTAMIL,23246.8971469188,45633.4723797198,1.42896700684852,103.790607539185,
JIEMIN PRIMARY SCHOOL,TAEKWONDO; MODULAR CCA (SPORTS); FLOORBALL; BASKETBALL; MODERN DANCE; MODULAR CCA (VPA); MALAY DANCE; GUZHENG ENSEMBLE; CHINESE DANCE; ANGKLUNG/KULINTANG ENSEMBLE; RED CROSS YOUTH; ROBOTICS; ART AND CRAFTS; JOURNALISM,LANGUAGES; MUSIC & PERFORMING ARTS,,,http://www.jieminpri.moe.edu.sg,768515,CO-ED SCHOOL,SINGLE SESSION,N,N,N,N,CHINESEMALAYTAMIL,27678.0421859771,45492.0549418237,1.42768847665227,103.830425490093,
JING SHAN PRIMARY SCHOOL,ROPE SKIPPING; FOOTBALL; BASKETBALL; BADMINTON; MODERN DANCE; CULTURAL DANCE; CHOIR; GIRL GUIDES (BROWNIES); ROBOTICS; INFOCOMM TECHNOLOGY (MEDIA PRODUCTION); ENVIRONMENTAL SCIENCE; ART AND CRAFTS,STEM - SUSTAINABILITY; COMMUNITY SERVICE & STUDENT LEADERSHIP,,INTERNATIONAL_DANCE,http://www.jingshanpri.moe.edu.sg,569228,CO-ED SCHOOL,SINGLE SESSION,N,N,N,N,CHINESEMALAYTAMIL,30052.6981126349,39330.3826092724,1.37196445720109,103.851763531681,
